name,selling_price in Ph,year,seller_type,owner,km_driven,ex_showroom_price
Bajaj Super,20000,1988,Individual,1st owner,21000,
Bajaj Super,6000,1991,Individual,1st owner,35000,
Royal Enfield Classic 350,130000,1993,Individual,2nd owner,10000,
Royal Enfield Bullet 350 [2007-2011],150000,1995,Individual,3rd owner,20000,
Hero Honda CD100SS,10000,1997,Individual,1st owner,646000,
Yamaha RXG,25000,1997,Individual,1st owner,45354,
TVS Excel,5000,1998,Individual,1st owner,60000,
Yamaha RX135,65000,1998,Individual,3rd owner,16500,
Hero Honda CD100,15000,1998,Individual,1st owner,65000,
Hero Honda CD100,15000,1999,Dealer,2nd owner,10000,
Bajaj Boxer,10000,2000,Individual,1st owner,30000,
Yamaha Rx,70000,2000,Individual,3rd owner,5000,
Hero Honda Splendor,10000,2000,Individual,1st owner,61000,
Hero Honda CD100,15000,2000,Individual,1st owner,50000,
Hero Honda Street Smart,10000,2000,Individual,1st owner,24000,
Hero Honda CBZ,10000,2000,Individual,4th owner,48000,
TVS Victor,20000,2001,Individual,1st owner,50000,54852
Royal Enfield Bullet 350 [2007-2011],60000,2001,Individual,2nd owner,4000,
Hero Honda Passion,9000,2002,Individual,2nd owner,66191,
TVS Victor GLX,27000,2002,Individual,1st owner,49000,
TVS Max DLX,26000,2002,Individual,2nd owner,28000,
Hero Honda Passion Plus,8000,2003,Individual,1st owner,53500,
Hero Honda Passion Plus,7500,2004,Individual,1st owner,120000,
Hero Honda Splendor Plus,15000,2004,Individual,1st owner,14500,
TVS Victor,18000,2004,Individual,1st owner,46700,54852
Hero Honda Splendor Plus,20000,2004,Individual,2nd owner,127000,
Bajaj Boxer,15000,2004,Individual,1st owner,18000,
TVS Centra,10000,2005,Individual,1st owner,50000,
Hero Honda Splendor Plus,15000,2005,Individual,1st owner,65000,
Bajaj Pulsar 150 [2001-2011],15000,2005,Individual,1st owner,47670,
Hero Honda Splendor Plus,12000,2005,Individual,1st owner,48000,
Bajaj Pulsar 150,8000,2005,Individual,1st owner,58000,
